ZCTA5CE,rent_to_income,pct_rent_burden_30,pct_rent_burden_50,zori,commute_min_proxy,pct_commute_lt10,pct_commute_10_19,pct_commute_20_29,pct_commute_30_44,pct_commute_45_59,pct_commute_60_plus,ttw_total,pct_drive_alone,pct_carpool,pct_car,pct_transit,pct_walk,pct_wfh,renter_share,vehicle_access,total_pop,pop_density,job_density,pct_white,pct_black,pct_asian,pct_hispanic,pct_other,median_income,income_segment,stops_per_km2,distance_to_cbd_km,job_accessibility,period
30002,0.17617361319030755,49.22118380062305,0.0,,31.43381535038932,12.013348164627363,13.348164627363737,18.020022246941046,38.15350389321468,11.568409343715238,6.896551724137931,899.0,64.65517241379311,6.982758620689655,71.63793103448276,4.051724137931034,1.6379310344827587,22.5,30.283018867924525,74.52830188679245,2456.0,553.6768805062635,324.40595726730993,72.23127035830619,12.662866449511402,1.3029315960912053,4.153094462540716,9.64983713355049,125313.0,High,0.4508769385230159,12.164863840213181,356325.3666528739,
30004,0.2028812368245513,18.361067658480554,4.723324628337482,2104.3830336330334,33.895931489285594,9.191522243842366,25.138694804651816,20.48188133679255,16.599145573298134,12.659456869934365,15.92929917148078,18133.0,71.03695585277642,4.613209085030099,75.65016493780652,0.6400122467322548,0.0,23.107927507198784,19.766406971265422,39.4404279913309,46048.0,302.69244139649635,237.75371162417207,54.92746699096595,12.695448227936067,15.833478109798472,11.12534746351633,5.418259207783183,184980.08819058375,High,0.0,44.0667119360808,153897.73933666467,2026-05-31
30005,0.16951889256901276,22.364754259573534,0.3861003861003861,1993.664045773348,31.586136663194665,7.561180578063026,29.049869164439023,20.300815177858563,19.601195461709164,10.966317749394815,12.520621868535407,11778.0,67.6531106741457,4.18843705967503,71.84154773382072,1.815955923072821,1.2120346208914676,24.058363832400293,27.60990001254796,40.502643337467525,30006.0,717.3360068238587,1209.9277691582454,47.09058188362327,10.704525761514363,28.76757981736986,9.364793707925081,4.07251882956742,187373.4872692128,High,0.28687702732407866,40.007985843695444,222135.7744022868,2026-05-31
30008,0.2501810341367307,47.10937130809836,4.246101519276485,1791.1446592623065,33.31499970163559,5.555285139050901,19.92766842826509,24.929638838880194,29.47508883730742,9.439467829752619,10.67285092674377,14007.0,72.8115412047887,11.391058368310242,84.20259957309895,1.679542194814838,0.9915210616984569,11.000845823827392,35.924038780907054,58.216802750833665,35402.0,1430.304716401493,181.20209742558882,19.168408564487883,41.4694085079939,3.248404044969211,30.84853963052935,5.26523925201966,84002.9676571945,Medium,0.08080361089212433,24.26457162190445,238064.53750349328,2026-05-31
30009,0.20450064644033245,38.835511902684196,17.09115329920699,2489.0453216374267,29.185096253388046,13.24582508955777,34.627503875615105,17.71300831529975,11.553792131238204,10.728356405410887,12.131514182878291,7263.0,64.75813771332369,4.371542027387481,69.12967974071117,0.4445365929135076,3.638674627078111,24.505355960109753,36.245061436299224,46.06651326074831,17609.0,739.7270242718494,1155.4427737291849,69.01016525640297,6.7181554886705666,14.799250383326708,6.2411266965756145,3.2313021750241355,160578.44715770346,High,0.04200846296052299,36.78341559740648,254529.52638814246,2026-05-31
30011,0.22784698164664258,8.938547486033519,0.0,2289.6666666666665,37.103085210577866,5.484818805093046,29.33398628795299,17.53183153770813,12.634671890303622,15.817825661116553,19.19686581782566,2042.0,64.43468715697036,8.01317233809001,72.44785949506037,0.0,0.3293084522502744,25.283571167215513,19.103521878335112,23.585912486659552,7163.0,102.09786897236955,26.240705958136584,53.91595700125645,25.15705709898087,7.259528130671507,9.870166131509144,3.797291637582019,100368.0,Medium,0.0,59.311711986605395,51712.99641510294,2026-05-31
30017,0.23179863754828167,38.17871074645142,17.047794682649453,2285.10582010582,41.663025989923426,4.0225573116205435,17.580196970447656,15.13582030661295,25.26553120461736,16.884645843048425,21.11124836365307,13002.0,78.8408954589527,6.049201900705305,84.89009735965801,0.258751707647391,0.7490317944089552,12.072398567985376,13.583993464519274,36.91113352864007,29569.0,970.2478392484545,100.53905710227822,33.2510399404782,44.11376779735534,3.239879603638946,16.09794041056512,3.297372247962393,100758.3403564544,Medium,0.03281300819264955,42.282112076275624,120520.95036293782,2026-05-31
30019,0.22189480190637034,34.85232297507105,2.4904214559386975,2560.074074074074,38.43519156408188,5.530232183766322,16.584288555418016,18.077998577092515,25.640623261916716,17.76989194485714,16.396965476949294,18856.0,78.68656179042367,4.259728244332355,82.94629003475602,0.8252534475485082,0.43713768966649375,15.035476113538856,16.82544061132985,30.53146037469718,52548.0,430.5996644912845,96.12858080511644,45.07878511075588,28.859328613838777,6.276166552485347,15.071934231559716,4.71378549136028,106746.64520057852,High,0.0,53.095560050849976,78089.23788702185,2026-05-31
30021,0.28951459372640087,40.640456209531834,1.2202259842652616,1607.2222222222224,35.29402417402273,2.849704976843007,22.60279340631013,23.586949662384857,27.67146597417134,7.45447580730746,15.834610172983203,8459.0,58.68137199039787,24.68845335397425,83.36982534437213,7.32945865311473,0.3998554046176453,7.53153930205158,77.72000816980088,67.85479743128509,21387.0,2298.482715042962,281.5740736621574,11.600504979660542,66.05882077897789,15.41123112170945,3.567587786973395,3.36185533267873,52139.92930284752,Low,1.612065307226092,15.237117184003703,352649.88535239454,2026-05-31
30022,0.18910808022664327,37.416962409582645,6.199797023279539,1919.1085897435896,34.21393258545468,6.395391003759292,23.24951469929593,18.452753664240515,24.572359632851033,15.388774200414778,11.941206799438456,25334.0,67.20885554540092,6.377712439874402,73.58656798527532,0.8252344435606689,0.5741091201471454,23.355737220230314,30.533739982746063,49.25019683937108,65670.0,1055.3550436698615,487.42071683427594,49.569057408253386,13.820618242728795,19.89036089538602,8.227501142074006,8.492462311557789,144520.5076747373,High,0.03214116167716953,33.15821747394295,296416.4870660315,2026-05-31
