ZCTA5CE,rent_to_income,pct_rent_burden_30,pct_rent_burden_50,zori,commute_min_proxy,pct_commute_lt10,pct_commute_10_19,pct_commute_20_29,pct_commute_30_44,pct_commute_45_59,pct_commute_60_plus,ttw_total,pct_drive_alone,pct_carpool,pct_car,pct_transit,pct_walk,pct_wfh,renter_share,vehicle_access,total_pop,pop_density,job_density,pct_white,pct_black,pct_asian,pct_hispanic,pct_other,median_income,income_segment,stops_per_km2,distance_to_cbd_km,job_accessibility,period
90001,0.30339633657969667,55.18450610189709,5.530653257867972,2694.9666666666667,38.43934669906915,3.861999103275794,15.350353669234938,20.44979314604078,32.08532308062671,11.272171548778578,16.980359452043206,28329.0,68.86848813226462,13.002455393261192,81.8709435255258,8.890513542367232,1.9774077775802943,4.33578537421294,65.83037457410124,40.643569986854665,70273.0,8275.768421954113,1216.0514667809568,0.8111223371707483,7.5889744283010545,0.37994677899050844,90.57675067237773,0.6432057831599619,60055.86862664181,Low,16.251704669356194,8.89488990616822,842713.786584627,2026-05-31
90002,0.3493330189371335,58.86892237501856,4.415274357731634,2550.0,38.8290949956802,3.073848973857575,15.717068672095293,20.248888913121196,31.536418543876046,11.652117879663521,17.771657017386364,21789.0,67.73167329001573,13.18269260772695,80.91436589774267,10.298911761377086,0.9744946425170131,4.40414643526015,60.400171086848495,43.93549914972105,58329.0,7529.237660182258,564.476611770766,0.3805997016921257,15.199986284695434,1.3338133689931253,81.76550258019167,1.3200980644276432,58944.419551166655,Low,13.424552395188583,11.618395672496199,775371.9402685361,2026-05-31
90003,0.3211642627042993,57.40292838269609,4.852217137648739,2509.03345959596,39.101613449394605,2.8070987701113124,15.487445776844606,19.102222936754956,34.096408064509156,10.055599469211105,18.45122498256887,18487.0,68.2031488522528,13.299750625511582,81.50289947776436,10.63465979229722,1.4791139146263352,3.578620597684257,71.86608642714158,43.78899228908156,46818.0,4988.291338480226,757.4386587478305,0.4634969456192063,16.76491947541544,0.38233158187022087,80.28749626212141,2.101755734973728,56123.71357170319,Low,21.309288472297947,10.34256520653448,825308.8626396232,2026-05-31
90004,0.3431707387896732,52.17094445178873,2.859663862705169,2314.5625,35.55033463890325,4.398478596108302,16.064322948021672,16.843928409132115,39.40039378867782,11.523431915527334,11.769444342532749,27761.0,58.37370560799255,8.80104997896905,67.1747555869616,16.760045904669916,3.0077338620899052,10.639802929778426,87.68069846531176,75.29532980935421,56613.0,7168.021354861036,1101.0388727301429,18.852560365993675,4.4565735785067035,25.220355748679633,47.61980463851059,3.850705668309399,65236.17109144543,Low,14.813885477164984,6.777153167303854,1029025.6392955685,2026-05-31
90005,0.39763332600274814,55.36520024829941,4.631104163334556,2376.374422799423,37.00947229298325,5.147423839716472,14.13015523589922,14.045965122562913,40.46119951868684,12.34072677867972,13.874529504454841,25094.0,50.20779581617286,5.693180395786406,55.900976211959275,26.718065151157575,4.665009754409189,9.281519334951431,93.27560806052439,87.22126039549208,52081.0,17051.08499046123,3097.816212817422,10.33006278681285,4.8808586624680785,33.16756590695263,48.265202281062194,3.356310362704249,54505.36925174248,Low,20.625916445518662,6.1484027251585625,1042061.406840381,2026-05-31
90006,0.3454211546484501,50.715532051272056,4.218806075626801,1946.6020875420877,38.79987916186068,4.4238273534484005,15.053852912374749,13.762516337616203,35.973303163403926,14.274326305067328,16.51217392808939,22234.0,52.91737329027997,9.068165481114818,61.985538771394786,25.791811107452855,2.852301690961773,6.34028548733394,89.55381093706643,63.64192132052389,45491.0,9087.295667878205,1917.6988505777138,4.774570794223033,3.5171792222637444,19.42801872897936,70.6711217603482,1.6091094941856632,51086.79708074124,Low,28.16620186786017,4.780192196725087,1046110.0721761653,2026-05-31
90007,0.5526017703371539,59.741979575317956,9.289254328855085,2116.969904999653,32.26529261385008,8.774985923275691,28.311261300044098,13.494404998350193,26.315068835959398,11.167499450069586,11.936779492301039,16589.0,43.21668888265721,9.370417569737741,52.58710645239495,14.912965730381359,16.080094964440306,9.498169065108867,89.73844841654397,68.71602205715345,42170.0,6703.055366610554,2757.0428108574833,15.968698126630306,7.8539245909414275,17.123547545648567,54.74982214844676,4.304007588332938,39165.22764998814,Low,30.201103145743545,4.811015174776986,1015603.4940919371,2026-05-31
90008,0.3522674118675791,59.156962704522904,8.269361349218173,2094.3134615384615,38.47549446160033,1.2629794393101776,10.773089411002516,18.558248353034237,45.173974369467395,9.671489268487882,14.560219158697794,13947.0,70.89486556317841,5.975502725297006,76.87036828847543,8.68990547733277,0.9926238185593914,11.100757472973186,62.205853965520575,93.6214322872333,33282.0,4402.877254893684,648.353507188088,7.905173967910582,59.795084430022236,4.16741782344811,24.406586142659695,3.7257376359593772,71126.91127336098,Low,14.81648496328624,10.417979129041935,936324.0055399628,2026-05-31
90010,0.433690148810339,50.91735333995629,4.104848454514904,3001.455624355005,32.40516347873824,5.1519726328722735,27.054041633301107,18.320604807084262,28.223704423926225,10.890558844793128,10.359117658022999,3155.0,47.77583902163736,7.534097140309903,55.30993616194727,18.11182099292972,9.952744070968338,14.049912958804875,95.1557423779646,106.27301738412848,7512.0,7431.117585644274,28985.513362215504,11.741214057507987,8.626198083067093,50.346112886048985,22.337593184238553,6.94888178913738,53379.56150159745,Low,61.33244013710663,6.571963074643774,1039061.1330763251,2026-05-31
90011,0.33562582182787576,55.50503520372038,2.1253672806798134,2653.579975579976,37.28787498795087,4.366076779230253,21.040660177315985,17.09863043182912,29.754523449063928,10.426335837109304,17.313773325451404,39774.0,58.85422317188056,13.565637504518593,72.41986067639915,14.320042491774018,4.68345473687239,3.502372832348605,72.708086084341,44.42902382962967,91602.0,8249.666155144314,1059.6446800444094,1.0294535053819787,6.170170956966005,0.5261893845112552,91.3953843802537,0.8788017728870549,54478.86177157704,Low,19.99329584989452,5.391717975798966,948580.5645003642,2026-05-31
