ZCTA5CE,rent_to_income,pct_rent_burden_30,pct_rent_burden_50,zori,commute_min_proxy,pct_commute_lt10,pct_commute_10_19,pct_commute_20_29,pct_commute_30_44,pct_commute_45_59,pct_commute_60_plus,ttw_total,pct_drive_alone,pct_carpool,pct_car,pct_transit,pct_walk,pct_wfh,renter_share,vehicle_access,total_pop,pop_density,pct_white,pct_black,pct_asian,pct_hispanic,pct_other,median_income,income_segment,stops_per_km2,period
75001,0.2525045062585089,43.688289808072206,5.914940245787541,1575.1474512146551,24.268714672895605,13.347889008927664,27.142053008561092,25.8866543778747,26.863599599849167,4.504805581428921,2.254998423358453,6601.0,77.86662364311823,4.861442533911882,82.72806617703012,1.7032606055267334,1.4406931719611398,13.596065151864996,77.81349945573955,95.26678885362595,12376.0,1272.02029921075,38.388817065287654,20.224628312863608,5.882352941176471,29.90465416936005,5.599547511312217,78063.4970103426,Medium,4.907871304486596,2025-10-31
75006,0.2500154346504481,45.17180017409777,2.5154337846240806,1466.3761931711,25.348399066015848,8.568744912752246,31.202714375246035,25.626627104346607,26.036108901617126,5.357716658614621,3.208088047423368,25865.0,77.8803512212255,7.504946740506225,85.38529796173172,1.5176732631779049,1.1722498371022934,11.017926177326274,52.40563395408238,68.57685507254378,53279.0,1181.816500610994,31.924397980442574,9.808742656581392,10.651476191369959,44.861953114735634,2.7534300568704366,80279.78148989283,Medium,0.716447058880778,2025-10-31
75007,0.18539725477126695,39.375558755473634,2.424999511356675,1833.1787802840431,27.805381041047497,6.381108758522988,23.767859840020126,29.257192484707062,30.1570641903192,7.332856806039084,3.1039179203915426,25080.0,74.3398681404385,7.244201465559689,81.5840696059982,1.4038221441104601,0.5467958087198704,15.454914470664857,27.134304294925812,42.952817150253786,51786.0,1662.1220902931047,44.21272158498436,6.754721353261499,15.884602015988877,28.878461360213183,4.26949368555208,122960.3158189472,High,0.1125720012926841,2025-10-31
75010,0.17848455788040374,25.30039242769602,1.6644895697264774,1710.336319073084,27.733792309376796,6.211183057006647,30.2664895930435,24.757881439972298,25.149553664414125,9.263296514665514,4.35159573089792,12826.0,71.17162331530864,8.701145543242527,79.87276885855117,0.7878704560680897,0.24181349973946872,17.547607523866397,44.632204215756644,57.256535990490136,27202.0,1530.4016943733093,41.38298654510698,12.991691787368575,29.608117050216897,12.499080949930152,3.518123667377399,112244.70355120947,High,0.03944232264735538,2025-10-31
75019,0.17378432732033675,30.0797923514517,1.4371787073217932,2059.150427350427,26.185287702582134,7.45018314538666,25.4561882502878,30.933765839418918,27.341215850340507,6.797294549531245,2.021352365034863,20069.0,75.02786990640188,4.226943316021782,79.25481322242364,0.27285629325175587,0.3553735177585231,18.579395809564435,36.643148570680495,53.932351930839644,45286.0,961.0310271983791,44.79750916398004,5.677251247626198,29.812745660910657,16.186017753831205,3.5264761736519015,148428.31857527714,High,0.11919571441025643,2025-10-31
75022,0.17450502078189908,37.2815494393476,1.4678899082568808,2914.0833333333335,29.404599674980297,6.953355968784194,22.565790309151225,23.88881022804558,32.44840717137068,9.993928983280538,4.1497073393677795,8526.0,72.35331341635549,2.9284769389609133,75.2817903553164,0.0,0.8579998654136795,22.090970869184257,13.289825193847486,30.35044733589992,21420.0,371.71527179818844,66.05508870214753,3.4687208216619982,19.27170868347339,7.273576097105509,3.9309056956115778,199588.96330532213,High,0.0,2025-10-31
75024,,0.0,0.0,1666.6781678773204,25.661378555798688,10.284463894967178,36.542669584245075,20.787746170678336,21.334792122538293,5.798687089715536,5.25164113785558,914.0,69.14095079232693,6.672226855713094,75.81317764804002,0.0,0.0,23.769808173477898,0.5714285714285714,28.34285714285714,2243.0,66.25154013424083,69.86179224253233,4.7703967900133755,16.6740971912617,3.1654034774855107,5.528310298707089,233854.0,High,1.75843258413404,2025-10-31
75028,0.19037044403759856,39.08732183046897,10.202838076560257,2219.973658150129,29.80180403585271,10.048183468993274,22.395738372382258,19.8375963944687,30.321505044002276,11.828832344405008,5.568144375748489,18824.0,75.79478594332812,4.42619631198838,80.22098225531651,0.15585275743191215,0.3718314400685608,18.353523879588625,17.612221527823277,33.33611504047365,45245.0,1117.2626420463066,68.15780749254061,3.7529008730246436,11.886396286882528,11.397944524256824,4.804950823295392,155947.59109293844,High,0.0,2025-10-31
75033,0.1767302979819618,28.765799108903508,1.0745244633146427,1761.5771925771926,33.08264679130446,8.48735132651406,19.860038130869103,19.322739337078165,26.584953008368547,15.904711015651744,9.840207181518371,11907.0,65.1444663289065,6.6460180289795145,71.79048435788603,0.23403325091612118,0.5972335574486497,26.076660122104006,13.14393629331866,23.53949940343085,37031.0,646.0094827833454,53.96829683238368,11.177121870864951,16.52669385109773,13.801949717804002,4.525937727849639,192478.58459128838,High,0.0,2025-10-31
75034,0.16286894219386475,50.78878855309424,0.0,1688.5549344578474,27.302881875280026,15.271950665732485,24.28744153890122,14.62966568692251,33.28572370028928,8.049396056268295,4.47582235188621,6285.0,68.22180981565592,2.3814939463296985,70.60330376198561,0.429481850928235,0.31864782488223886,26.69931480737367,30.185090940615535,35.58611456258507,18809.0,450.1185773600487,60.242437131160614,6.75740337072678,16.226274655749908,12.105906746770163,4.667978095592535,183888.20686905205,High,0.0,2025-10-31
